id,name_ru,name_en,category,value_rub,stack_max,stack_declared,spawn_w_milli,spawn_rooms,spawn_count_max,equip_slot,durability,resist_kinetic,resist_buckshot,resist_energy,resist_fire,resist_psi,science_value,contraband_score,deceptive_score,use_effect,use_a,use_b,use_grant_id,use_grant_n,ammo_id,craft_mechanics,craft_electronics,craft_consumables,craft_bio,craft_chemical,craft_metal,craft_psimatter,craft_metamatter,craft_station,craft_tier,tag_count,tags_hot,tags_all,desc_ru,mass_g,light_radius_mm,light_intensity_e3,light_cone_deg,flicker
chernobog_redacted_central_note,Редакция центральной записки,Central Note Revision,MISC,240,1,,0,,1,None,,,,,,,,,,None,,,,,,0,0,56,0,0,0,0,34,net_terminal,4,5,evidence,archive|chernobog|cult|evidence|witness,"Черные прямоугольники держатся крепче печати. Видно: ""центр"", ""внешние"", ""не подтверждать"".",150,0,0,0,none
chernobog_witness_correction,Правка показаний ЧБ,ChB Testimony Correction,MISC,120,1,,0,,1,None,,,,,,,,,,None,,,,,,3,0,5,0,0,0,0,0,workbench,1,5,evidence,archive|chernobog|cult|evidence|witness,"Форма заменяет ""видел"" на ""предположил"". Поле для дрожи не предусмотрено.",150,0,0,0,none
chest_failsafe_charge,Фугасный нагрудный заряд,High Explosive Chest Charge,WEAPON,1650,1,1,0,,1,Weapon,,,,,,,,,,None,,,,,chest_failsafe_charge,4,0,0,0,11,9,0,0,lathe,2,9,contraband|liquidator|single_use|weapon,contraband|explosive|failsafe|grenade|liquidator|panic_clear|single_use|story_rare|weapon,"Опломбированный аварийный фугас. Урон 175 по площади. Один рывок, один взрыв, один рапорт: украсть, продать или оставить на безвыходный коридор.",1500,0,0,0,none
child_map,Карта детей,Children's Map,MISC,30,1,,1000,LIVING|COMMON,1,None,,,,,,,,,,None,,,,,,2,0,3,0,0,0,0,0,workbench,0,0,,,Карандашная карта двора и соседних комнат. Может вывести к тайнику или к чужой двери.,200,0,0,0,none
chizh3_shotgun,ЧИЖ-3,CHIZH-3,WEAPON,980,1,,140,HQ|STORAGE,1,Weapon,,,,,,,,,,None,,,,,ammo_shells,2,1,1,0,0,4,0,0,lathe,1,7,liquidator|permit|weapon,ammo_shells|corridor_stop|issue_stash|liquidator|permit|shotgun|weapon,"Уставной помповый дробовик зачистки. Урон 13x8. Уже обреза, быстрее ТОЗа, требует дробь и право на шум.",3300,0,0,0,none
cigs,Сигареты,Cigarettes,MISC,5,12,12,1000,LIVING|COMMON|SMOKING,6,None,,,,,,,,,,None,,,,,,0,0,1,1,0,0,0,0,workbench,0,0,,,Пачка «Прима». Курилка принимает её как пропуск без фотографии,200,0,0,0,none
circuit_board,Микросхема,Microchip,MISC,35,1,,1000,PRODUCTION|OFFICE,1,None,,,,,,,,,,None,,,,,,1,3,1,0,0,0,0,0,workbench,0,0,,,"Плата с дорожками и реле. Нужна для приборов, лифтовых обходов и ремонта.",200,0,0,0,none
clean_health_cert,Справка об отсутствии заражения,Certificate of No Infection,MISC,35,1,,1000,MEDICAL|OFFICE,1,None,,,,,,,,,,None,,,,,,0,0,5,0,0,0,0,0,workbench,0,2,document,document|quarantine,Медицинская справка с печатью. В карантинной очереди её смотрят до лица.,20,0,0,0,none
cleaning_kit,Чистящий комплект,Cleaning Kit,TOOL,80,1,,1000,BATHROOM|STORAGE|LIVING,1,Tool,240,,,,,,,,,None,,,,,,4,0,1,0,0,3,0,0,workbench,1,0,,,Зажмите R: очищает кровь/грязь в радиусе клетки и улучшает отношения. Ревизия любит чистый пол,1200,0,0,0,none
cleanup_order_stub,Корешок приказа на зачистку,Clearance order receipt,MISC,86,3,3,450,HQ|OFFICE,1,None,,,,,,,,,,None,,,,,,0,0,8,0,0,0,0,0,workbench,1,9,access|audit|cleanup|document|evidence|liquidator|official,access|audit|cleanup|confiscation|document|evidence|liquidator|official|order,"Отрывной корешок ликвидаторского приказа: сектор, подпись и строка для изъятого. Предъявите как основание, сдайте как улику или продайте тем, кто крадёт законно.",20,0,0,0,none
cleanup_tongs,Санитарные щипцы,Sanitary tongs,TOOL,160,1,,350,MEDICAL|HQ,1,Tool,32,,,,,,,,,None,,,,,,5,0,1,0,2,3,0,0,workbench,1,5,cleanup|liquidator|medical|tool,cleanup|liquidator|medical|sample_handling|tool,"Длинные щипцы медпоста. Держите в слоте инструмента: кислотная добыча берётся без фильтрующего слоя, но щипцы изнашиваются.",900,0,0,0,none
cloth_roll,Ткань,Cloth,MISC,6,8,8,1000,LIVING|STORAGE,5,None,,,,,,,,,,None,,,,,,1,0,1,0,0,0,0,0,workbench,0,8,counterplay|medical|samosbor,cloth|cold_counter|component|counterplay|filter|medical|samosbor|wet_cloth,"Рулон серой ткани. Его можно отдать прачечной, намочить для смога или потратить на белую щель.",200,0,0,0,none
concentrate_bonus_coupon,Премиальный талон концентрата,Premium concentrate coupon,MISC,42,4,4,240,OFFICE|KITCHEN|HQ,1,None,,,,,,,,,,None,,,,,,0,0,5,0,0,0,0,0,workbench,0,6,document|official|single_use,concentrate|coupon|document|official|ration|single_use,Талон на усиленную пайку. Очередь видит слово премия и считает ваши зубы.,10,0,0,0,none
concentrate_coupon,Талон на концентрат,Concentrate Coupon,MISC,3,1,,1000,OFFICE|COMMON|STORAGE,1,None,,,,,,,,,,None,,,,,,0,0,2,0,0,0,0,0,workbench,0,4,document,coupon|document|economy|ration,"Пищевой талон с жирной печатью. Обычно гасится на беляк; черняк, красняк и спецпай требуют чужой строки.",10,0,0,0,none
concrete_breaker_grenade,Бетонобойная граната,Concrete-piercing grenade,WEAPON,620,4,4,25,HQ|PRODUCTION,1,Weapon,,,,,,,,,,None,,,,,concrete_breaker_grenade,4,0,0,0,7,5,0,0,lathe,2,8,liquidator|single_use|weapon,breach|concrete|engineer|grenade|liquidator|rare_stash|single_use|weapon,"Инженерная бетонка для плотной цели и плохого шва. Урон 105 по средней площади. Бросить сейчас, украсть из ящика или сберечь до тупика.",700,0,0,0,none
confiscation_tag,Бирка конфиската,Confiscated tag,MISC,50,6,6,350,HQ|OFFICE,1,None,,,,,,,,,,None,,,,,,0,0,3,1,1,0,0,0,workbench,0,6,audit|contraband|document|evidence|liquidator,audit|confiscation|contraband|document|evidence|liquidator,"Красная бирка для чужого незаконного предмета. С ней вещь становится выбором: сдать, спрятать или продать дороже.",20,0,0,0,none
confiscation_warrant,Ордер на изъятие,Seizure Warrant,MISC,135,1,,350,HQ|OFFICE,1,None,,,,,,,,,,None,,,,,,0,0,8,0,0,0,0,0,workbench,1,7,access|audit|document|evidence|liquidator|official,access|audit|document|evidence|liquidator|official|warrant,"Ликвидаторский ордер на чужую бумагу, сейф или досмотр владельца. Его можно предъявить, подделать вокруг него алиби или продать опаснее денег.",20,0,0,0,none
conscripts_doublebarrel,Двустволка срочника,Conscript's double-barreled shotgun,WEAPON,900,1,,200,STORAGE|LIVING,1,Weapon,,,,,,,,,,None,,,,,ammo_shells,5,2,0,0,1,8,0,0,lathe,2,6,weapon,civilian|metal|militia|shotgun|starter|weapon,"Складская двустволка из ополченского тайника. Урон 10x7. Две уверенные попытки, потом длинная перезарядка и расход дроби.",3100,0,0,0,none
container_key_label,Бирка от ключа,Key Tag,MISC,9,1,,1000,STORAGE|OFFICE,1,None,,,,,,,,,,None,,,,,,0,0,3,0,0,0,0,0,workbench,0,0,,,Бирка со стёртым номером кладовки. Может подсказать контейнер или запутать вора.,200,0,0,0,none
contaminated_gloves,Загрязнённые перчатки,Contaminated gloves,MISC,8,6,6,0,,4,None,,,,,,,,,,None,,,,,,0,0,1,0,1,0,0,0,workbench,0,9,audit|cleanup|contraband|evidence|liquidator|trade,audit|cleanup|contaminant|contaminated|contraband|evidence|liquidator|ppe|trade,"Перчатки после сорванной зачистки. Дешёвая улика: можно сдать, спрятать или продать тем, кто не нюхает.",150,0,0,0,none
contaminated_sample_act,Акт испорченной пробы,Report of spoiled sample,MISC,58,3,3,240,MEDICAL|OFFICE,1,None,,,,,,,,,,None,,,,,,0,0,2,2,1,0,0,0,lab,0,6,audit|document|evidence|nii|sample,audit|contaminated|document|evidence|nii|sample,"Документ, где плохая проба становится виноватым шкафом. НИИ и ликвидаторы читают его по-разному.",20,0,0,0,none
contaminated_swab,Загрязнённый мазок,Contaminated smear,MISC,5,12,12,450,MEDICAL|STORAGE|SMOKING,6,None,,,,,,,,,,None,,,,,,0,0,1,1,0,0,0,0,lab,0,8,audit|evidence|sample|trade,audit|contaminant|contaminated|evidence|failed_sample|sample|swab|trade,"Мазок уже собрал больше пальцев, чем фактов. Годится как дешёвая улика, провал пробы или рыночная байка.",150,0,0,0,none
contraband_receipt_blank,Пустая расписка контрабанды,Blank contraband receipt,MISC,44,5,5,280,SMOKING|OFFICE|STORAGE,1,None,,,,,,,,,,None,,,,,,0,0,5,0,0,0,0,0,workbench,0,5,audit|contraband|document|forgery,audit|contraband|document|forgery|receipt,Расписка без товара и подписи. Самая дорогая часть сделки - пустое место.,20,0,0,0,none
contraband_shocker_parts,Детали шокера,Shocker details,MISC,150,2,2,250,PRODUCTION|OFFICE|SMOKING,1,None,,,,,,,,,,None,,,,,,1,3,2,1,1,0,0,0,lathe,1,6,black_market|contraband|electronics|production,black_market|contraband|electronics|production|shock_baton|weapon_part,"Катушка, рукоять и чужой предохранитель. Продайте Жоке, спрячьте от поста или несите в техническую кладовую на подпольную сборку.",500,0,0,0,none
corpse_number_tag,Номерок трупа,Body number,MISC,38,24,24,350,MEDICAL|HQ|STORAGE,1,None,,,,,,,,,,None,,,,,,0,0,2,2,1,0,0,0,workbench,0,7,cleanup|document|evidence|liquidator,cleanup|corpse|document|evidence|identity|liquidator|morgue,"Жестяная бирка после зачистки. Морг платит за отчёт, рынок - за чужую пустую строку; можно сдать, продать или спрятать.",20,0,0,0,none
cotton_wool,Вата,cotton wool,MISC,6,12,12,900,MEDICAL|BATHROOM|STORAGE,5,None,,,,,,,,,,None,,,,,,1,0,1,0,0,0,0,0,workbench,0,3,medical,component|filter|medical,"Серый медицинский комок для повязки, фильтра или заткнутого уха после сирены.",200,0,0,0,none
cracked_sample_jar,Треснувшая банка для пробы,Cracked sample jar,MISC,3,6,6,500,STORAGE|PRODUCTION|BATHROOM,6,None,,,,,,,,,,None,,,,,,0,0,0,1,1,0,0,0,workbench,0,6,trade,aftermath|container|contaminant|damaged|sampleware|trade,Стекло держится на честном слове и старом скотче. Образец в ней дешевеет ещё до сдачи.,200,0,0,0,none
crowbar,Лом,Crowbar,WEAPON,100,1,,1000,PRODUCTION|STORAGE,1,Weapon,,,,,,,,,,None,,,,,,4,0,0,0,0,4,0,0,lathe,1,0,,,"Тяжёлый лом. Урон 24. Средняя дистанция, высокая прочность 120",2500,0,0,0,none
cult_supply_list,Кухонный список ячейки,Cell Kitchen List,MISC,38,1,,1000,KITCHEN|STORAGE|OFFICE,1,None,,,,,,,,,,None,,,,,,2,0,3,0,0,0,0,0,workbench,0,0,,,"Хлеб, ключи, фамилии и стрелки к чужим кастрюлям. Доказательство пахнет кипятком.",200,0,0,0,none
deactivated_residue,Гашёный остаток,Extinguished Residue,MISC,55,255,255,0,,1,None,,,,,,,,,,None,,,,,,0,0,1,2,2,0,0,0,lab,0,5,reagent|sample|slime,burned|deactivated|reagent|sample|slime,"Серый сухой осадок после печи или кипятка. Уже не тянется к пальцам, но акт всё равно нужен.",250,0,0,0,none
debt_settlement_receipt,Квитанция о погашении,Settlement Receipt,MISC,110,1,,550,OFFICE|HQ,1,None,,,,,,,,,,None,,,,,,0,0,8,0,0,0,0,0,workbench,1,6,access|document|official,access|banking|debt|document|official|receipt,"Банк признает, что долг закрыт. Остальные признают только пока печать сухая.",20,0,0,0,none
decon_completion_stamp,Штамп санобработки,Sanitation stamp,MISC,55,4,4,320,HQ|MEDICAL|PRODUCTION,1,None,,,,,,,,,,None,,,,,,0,0,3,0,2,0,0,0,workbench,0,8,cleanup|document|liquidator|official|trade,cleanup|decon|document|liquidator|maintenance|official|stamp|trade,"Мокрая отметка о зачистке. Пол может быть грязным, но журнал уже успокоился; рынок берет ее как доказательство санобработки.",20,0,0,0,none
decon_fluid,Обеззараживающая жидкость,Disinfectant liquid,MISC,75,4,4,450,MEDICAL|PRODUCTION|HQ,1,None,,,,,,,,,,None,,,,,,0,0,1,3,4,0,0,0,lab,1,7,cleanup|counterplay|liquidator|reagent|slime,cleanup|counterplay|decon|fungus|liquidator|reagent|slime,"Щёлочная жидкость для пола, перчаток и плохих решений. Ликвидаторы ценят целую канистру выше рассказа.",300,0,0,0,none
denunciation,Донос,Denunciation,MISC,12,1,,1000,OFFICE|SMOKING,1,None,,,,,,,,,,None,,,,,,0,0,3,0,0,0,0,0,workbench,0,0,,,Подписан чужой рукой слишком уверенно.,200,0,0,0,none
dice_bone,Игральные кости,Dice,MISC,16,4,4,650,COMMON|SMOKING|LIVING,2,None,,,,,,,,,,None,,,,,,0,0,3,0,0,0,0,0,workbench,0,3,resident_good|trade,gambling|resident_good|trade,Пара костей с разными углами честности. У автомата звенят громче талона.,200,0,0,0,none
diver_route_tag,Бирка водолазного маршрута,Diver Route Tag,MISC,55,1,1,0,,1,None,,,,,,,,,,None,,,,,,0,0,4,0,0,1,0,0,workbench,0,4,,diver|maintenance|route|water_bridge,"Мокрая латунная бирка с зарубками сухого моста. Коту нужна как доказательство, что путь через угрей ещё держится.",200,0,0,0,none
domino_box,Коробка домино,Domino box,MISC,24,1,1,480,COMMON|SMOKING|LIVING|KITCHEN,1,None,,,,,,,,,,None,,,,,,1,0,4,0,0,0,0,0,workbench,0,4,resident_good|trade,domino|resident_good|table_game|trade,"Пластмассовые костяшки в мягкой коробке. За столом слышно не спор, а сухой щелчок счета.",200,0,0,0,none
door_kit,Комплект двери,Door Kit,TOOL,400,1,,1000,STORAGE|PRODUCTION,1,Tool,1,,,,,,,,,None,,,,,,6,0,1,0,0,4,0,0,workbench,1,0,,,Устанавливает одну дверь в проходе. Дверь выигрывает время при Самосборе и погоне,2500,0,0,0,none
duct_tape,Изолента,Electrical Tape,MISC,8,1,,1000,STORAGE|PRODUCTION|LIVING,1,None,,,,,,,,,,None,,,,,,0,0,2,0,0,0,0,0,workbench,0,0,,,"Черная лента для проводов, швов и быстрых временных решений.",200,0,0,0,none
easter_egg,Пасхальное яйцо,Easter Egg,FOOD,20,255,,0,,2,None,,,,,,,,,,HealPsi,10,3,,,,0,0,1,2,0,0,0,0,workbench,0,0,,,"Крашеное яйцо с трещиной в форме подъезда. Восстанавливает 10 HP, +3 ПСИ.",400,0,0,0,none
electrode_pack,Электроды,Electrodes,MISC,36,6,6,700,PRODUCTION|STORAGE,1,None,,,,,,,,,,None,,,,,,2,0,0,0,0,3,0,0,lathe,0,7,production|repair|trade,factory_input|metal|production|repair|repair_input|trade|welding,"Пачка электродов для сварки двери, трубы и последнего честного ремонта перед сиреной. Украсть из шкафа проще, чем потратить в цеху.",200,0,0,0,none
elevator_access_order,Ордер доступа к лифту,Elevator Access Order,MISC,62,1,,1000,OFFICE|HQ|CORRIDOR,1,None,,,,,,,,,,None,,,,,,0,0,8,0,0,0,0,0,workbench,1,5,access|document|official|permit,access|document|elevator|official|permit,Приказ на лифтовый доступ. На посту его сверяют с печатью и временем.,20,0,0,0,none
elevator_override_form,Бланк обхода лифта,Lift Bypass Form,MISC,42,1,,1000,OFFICE|CORRIDOR|HQ,1,None,,,,,,,,,,None,,,,,,0,0,5,0,0,0,0,0,workbench,0,0,,,"Бланк для служебного обхода лифта. Без печати спорный, с печатью дороже.",200,0,0,0,none
emergency_roster,Список укрытия,Shelter List,MISC,18,1,,1000,COMMON|HQ|OFFICE,1,None,,,,,,,,,,None,,,,,,0,0,3,0,0,0,0,0,workbench,0,0,,,"Фамилий больше, чем мест.",200,0,0,0,none
empty_roks_tank,Пустой ранцевый бак,Empty backpack tank,MISC,130,2,2,250,HQ|PRODUCTION|STORAGE,1,None,,,,,,,,,,None,,,,,,1,0,1,1,3,2,0,0,lathe,1,4,contraband|liquidator,contraband|fuel|liquidator|repair_input,"Пустой бак от РОКС. Бесполезен в руках, ценен у оружейника и подозрителен на рынке.",200,0,0,0,none
empty_sample_jar,Пустая банка для пробы,Empty sample jar,MISC,12,6,6,650,MEDICAL|STORAGE|KITCHEN,3,None,,,,,,,,,,None,,,,,,0,0,1,1,1,0,0,0,workbench,0,4,trade,container|sampleware|trade|unofficial,"Обычная чистая банка без номера НИИ. Подойдёт для рынка, слуха или отчёта без печати, но официальный пост такую не любит.",200,0,0,0,none
entrenching_spade,Саперная лопатка,Entrenching Spade,WEAPON,75,1,,1000,STORAGE|HQ,1,Weapon,,,,,,,,,,None,,,,,,4,0,0,0,0,4,0,0,lathe,1,0,,,Короткая военная лопатка. Урон 16. Надёжная. Прочность 100,1500,0,0,0,none
eralashnikov_auto,Автомат Ералашникова,Eralashnikov assault rifle,WEAPON,5200,1,,100,HQ,1,Weapon,,,,,,,,,,None,,,,,ammo_762,2,1,1,0,1,3,0,0,lathe,1,7,liquidator|permit|weapon,ammo_762|ammo_burn|issue_stash|liquidator|permit|rifle|weapon,"Штатная автоматическая винтовка ликвидатора. Урон 23. Быстрее старого Калашникова, но шире кладёт 7.62.",4300,0,0,0,none
experimental_concentrate,Несерийный концентрат,Non-serial concentrate,FOOD,34,255,,220,MEDICAL|PRODUCTION|STORAGE,1,None,,,,,,,,,,FeedRisky,32,-5,,,,0,0,1,3,1,0,0,0,workbench,0,6,bait|nii,bait|bait_risky|bait_starch|concentrate|experimental|nii,"Брикет без серии и с лабораторной наклейкой. Насыщает сильно, но желудок оформляет претензию без очереди.",400,0,0,0,none
fake_pass,Фальшивый пропуск,Forged Pass,MISC,45,1,,1000,OFFICE|SMOKING,1,None,,,,,,,,,,None,,,,,,0,0,5,0,0,0,0,0,workbench,0,8,access|audit|contraband|document|document_gate|permit,access|audit|contraband|document|document_gate|forged|pass|permit,Почти правильный цвет и чужая печать. На посту рискнут спросить фамилию.,20,0,0,0,none
felt_door_pad,Войлочная накладка,Felt Pad,MISC,18,6,6,800,LIVING|STORAGE|OFFICE,2,None,,,,,,,,,,None,,,,,,0,0,3,0,0,0,0,0,workbench,0,3,counterplay,counterplay|noise|quiet_door,Кусок войлока с клеем для ручки и косяка. Следующая дверь закрывается или открывается заметно тише.,200,0,0,0,none
fibrous_capsule_cut,Срез фиброзной капсулы,Section of the fibrous capsule,MISC,145,3,3,0,,1,None,,,,,,,,,,None,,,,,,0,0,2,4,2,0,0,0,lab,1,9,evidence|samosbor|sample|trade,aftermath|blueprint|capsule|evidence|factory_input|meat|samosbor|sample|trade,Плотная плёнка из мясного блока после самосбора. Её можно сдать как угрозу укрытию или спрятать для странной мастерской.,150,0,0,0,none
field_radio_battery,Батарея рации,Walkie Talkie Battery,MISC,38,6,6,750,STORAGE|OFFICE,1,None,,,,,,,,,,None,,,,,,1,3,1,0,0,0,0,0,workbench,0,4,electronics|trade,battery|electronics|radio|trade,"Плоский блок питания к полевой рации. Оставьте для связи, продайте электрику или обменяйте как дефицитную электронику.",500,0,0,0,none
filter_canister,Фильтр-канистра,Canister filter,MISC,55,4,4,600,STORAGE|HQ|MEDICAL,1,None,,,,,,,,,,None,,,,,,2,0,2,0,1,0,0,0,workbench,0,4,cleanup,cleanup|filter|smog|tools,"Тяжелая канистра фильтра. В обмене считается не железом, а минутами дыхания после сирены.",200,0,0,0,none
filter_layer,Фильтрующий слой,Filter Layer,MISC,16,1,,1000,MEDICAL|STORAGE,1,None,,,,,,,,,,None,,,,,,0,0,3,0,0,0,0,0,workbench,0,0,,,Серый материал для фильтра или повязки.,200,0,0,0,none
filter_receipt,Квитанция на фильтр,Filter Receipt,MISC,11,1,,1000,MEDICAL|STORAGE|OFFICE,1,None,,,,,,,,,,None,,,,,,0,0,3,0,0,0,0,0,workbench,0,0,,,Квитанция на выдачу фильтра противогаза. На складе её могут принять вместо рублей.,200,0,0,0,none
filtered_water,Вода фильтрованная,Filtered Water,DRINK,8,255,,1000,KITCHEN|MEDICAL|STORAGE,4,None,,,,,,,,,,Drink,35,,,,,0,0,1,0,1,0,0,0,any,0,0,,,"Пропущенная через уголь и марлю влага. Вкус ржавчины остался, зато осадок не скрипит на зубах.",600,0,0,0,none
fire_hook,Пожарный багор,Fire Hook,WEAPON,120,1,,1000,STORAGE|CORRIDOR,1,Weapon,,,,,,,,,,None,,,,,,4,0,0,0,0,4,0,0,lathe,1,0,,,Самый длинный ближний бой. Урон 18. Держит тварь на вытянутой руке. Прочность 80,3000,0,0,0,none
flamethrower,Огнемёт,Flamethrower,WEAPON,6500,1,,40,PRODUCTION|STORAGE,1,Weapon,,,,,,,,,,None,,,,,ammo_fuel,8,2,0,0,15,10,0,0,lathe,2,7,cleanup|weapon,cleanup|flame|fuel_clear|fungus_counterplay|industrial|slime_counterplay|weapon,"Промышленный огнемёт зачистки. Урон 6 за плевок. Выжигает слизь и грибной налёт, но быстро тратит бензин.",23000,0,0,0,none
flashlight,Фонарик,Flashlight,TOOL,150,1,,1000,STORAGE|LIVING|PRODUCTION,1,Tool,300,,,,,,,,,None,,,,,,3,2,1,0,0,2,0,0,workbench,1,0,,,Узкий круг света для тёмных коридоров. Батарея: 10 игровых часов (5 минут),350,20000,2500,30,none
foam_grenade_6p10,Пенобетонная граната 6П10,Foam concrete grenade 6P10,WEAPON,260,6,6,90,HQ|PRODUCTION,1,Weapon,,,,,,,,,,None,,,,,foam_grenade_6p10,2,0,0,0,5,4,0,0,lathe,1,8,liquidator|weapon,control|foam|grenade|issue_stash|liquidator|panic_control|self_ammo|weapon,Контрольная граната ликвидатора. Урон 18 по широкой площади. Носится пачкой: бросить сейчас или сберечь для узкого коридора.,500,0,0,0,none
foam_grenade_act,Акт выдачи 6П10,Certificate of issue 6P10,MISC,72,2,2,180,HQ|OFFICE,1,None,,,,,,,,,,None,,,,,,3,0,5,0,0,0,0,0,workbench,1,8,access|document|liquidator|official|single_use,access|document|foam|issue|liquidator|official|single_use|weapon_permit,"Акт на одну пеногранату 6П10. Сберечь до оружейного окна или погасить, пока журнал не передумал.",20,0,0,0,none
fog_detector,Детектор тумана,Fog Detector,TOOL,220,1,,1000,MEDICAL|HQ,1,Tool,80,,,,,,,,,None,,,,,,4,3,1,0,0,3,0,0,workbench,1,0,,,Пищит рядом с самосборной сыростью.,600,0,0,0,none
forged_bank_debt_paper,Липовая долговая бумага,Fake Debt Paper,MISC,68,1,,500,OFFICE|SMOKING,1,None,,,,,,,,,,None,,,,,,3,0,5,0,0,0,0,0,workbench,1,9,access|audit|contraband|document|forgery,access|audit|banking|contraband|debt|debt_paper|document|forged|forgery,"Долг с чужим почерком. Можно сдать управляющей, обналичить у должников или спрятать до ревизии.",20,0,0,0,none
forged_permit_slip,Кованый корешок пропуска,Forged Permit Slip,MISC,32,1,,1000,OFFICE|SMOKING|STORAGE,1,None,,,,,,,,,,None,,,,,,0,0,5,0,0,0,0,0,workbench,0,8,access|audit|contraband|document|document_gate|forgery|permit,access|audit|contraband|document|document_gate|forged|forgery|permit,"Подделка: печать ровная, бумага нервная.",20,0,0,0,none
forged_quarantine_clearance,Липовая карантинная справка,Fake Quarantine Certificate,MISC,36,1,,1000,MEDICAL|SMOKING|OFFICE,1,None,,,,,,,,,,None,,,,,,2,0,3,0,0,0,0,0,workbench,0,6,contraband|document|forgery|permit,contraband|document|forged|forgery|permit|quarantine,Поддельный документ пахнет йодом и дымом.,20,0,0,0,none
forged_raionsovet_pass,Липовый пропуск райсовета,Fake District Council Pass,MISC,75,1,,550,OFFICE|SMOKING,1,None,,,,,,,,,,None,,,,,,0,0,8,0,0,0,0,0,workbench,1,10,access|audit|contraband|document|document_gate|forgery|permit,access|archive|audit|contraband|document|document_gate|forged|forgery|permit|raionsovet,"Похож на допуск к картотеке, но чернила сушили слишком быстро. Открывает слабые посты и зовет сильный аудит.",20,0,0,0,none
forged_ration_card,Поддельная пайковая карточка,Forged Ration Card,MISC,18,1,,1000,KITCHEN|SMOKING|COMMON,1,None,,,,,,,,,,None,,,,,,0,0,3,0,0,0,0,0,workbench,0,4,audit|contraband,audit|contraband|forged|ration,"Талонная подделка для быстрой очереди. Используйте, чтобы продать рынку, или сдайте как улику.",200,0,0,0,none
forged_shelter_tally,Липовая ведомость укрытых,Fake Shelter Roster,MISC,95,1,,0,,1,None,,,,,,,,,,None,,,,,,3,0,5,0,0,0,0,0,workbench,1,4,document|forgery,document|forgery|istotit|shelter_tally,Исправленный список после Истотита. Лишние фамилии выглядят живее настоящих.,20,0,0,0,none
forged_stamp_sheet,Лист с поддельной печатью,Sheet with a Forged Stamp,MISC,70,1,,1000,OFFICE|SMOKING,1,None,,,,,,,,,,None,,,,,,0,0,3,1,1,0,0,0,workbench,0,5,audit|contraband|document|forgery,audit|contraband|document|forgery|stamp,"Подделка для архивного прохода, ночного оружейного окна и скупки подделок. Свидетели и аудит запоминают ровную печать.",20,0,0,0,none
frozen_item_shard,Осколок замороженного предмета,Frozen Item Shard,MISC,96,4,4,80,STORAGE|PRODUCTION,1,None,,,,,,,,,,None,,,,,,0,0,1,5,2,0,0,0,lab,1,8,evidence|sample,anomaly|cold|evidence|factory_input|frozen|rare_recipe|recipe_unlock|sample,"Лёд, стекло и неизвестный предмет спаялись в одну холодную улику. Хорош для НИИ, редкого рецепта и плох для голой руки.",150,0,0,0,none
frozen_slime_core,Замороженное ядро слизи,Frozen Slime Core,MISC,180,3,3,80,MEDICAL|STORAGE|PRODUCTION,1,None,,,,,,,,,,None,,,,,,0,0,2,4,5,0,0,0,lab,1,8,evidence|nii|sample|slime,aftermath|calcified|cold|evidence|frozen|nii|sample|slime,"Слизевой комок, остановленный холодом и уже начавший каменеть. Держите отдельно от еды, отчётов и кожи.",150,0,0,0,none
fuel_issue_stamp,Штамп выдачи топлива,Fuel dispensing stamp,MISC,76,3,3,180,HQ|PRODUCTION|OFFICE,1,None,,,,,,,,,,None,,,,,,0,0,3,0,2,0,0,0,workbench,0,6,document|liquidator|official|single_use,document|fuel|liquidator|official|single_use|stamp,Масляный штамп на огневой запас. Один раз превращается в канистру бензина.,20,0,0,0,none
fuse,Предохранитель,Fuse,MISC,20,1,,1000,PRODUCTION|STORAGE,1,None,,,,,,,,,,None,,,,,,1,0,2,0,0,0,0,0,workbench,0,0,,,"Маленькая деталь между светом, терминалом и пожаром. Электрик берёт первым, спорит потом.",200,0,0,0,none
g41_grenade_launcher,5Г41 станковый гранатомёт,5G41 easel grenade launcher,WEAPON,12000,1,,0,,1,Weapon,,,,,,,,,,None,,,,,grenade,6,3,0,0,14,12,0,0,lathe,2,7,liquidator|weapon,grenade|liquidator|mounted|production_belt|stationary|theft|weapon,"Пломбированный станковый гранатомёт смены 14. Урон 125 по площади. Станок стоит на маршруте; украсть его можно, но каждая граната пишет ревизию.",6300,0,0,0,none
gas_sample_ampoule,Ампула газовой пробы,Gas sample ampoule,MISC,165,3,3,160,MEDICAL|PRODUCTION|HQ,1,None,,,,,,,,,,None,,,,,,0,0,1,7,3,0,0,0,lab,1,5,evidence|nii|sample,ampoule|evidence|gas|nii|sample,"Запаянная ампула с зелёно-фиолетовой памятью самосбора. НИИ платит за целую, ликвидатор спрашивает, где был противогаз.",150,0,0,0,none
gasmask_filter,Фильтр противогаза,Gas Mask Filter,MISC,70,6,6,800,MEDICAL|STORAGE|HQ,1,None,,,,,,,,,,None,,,,,,3,0,5,0,0,0,0,0,workbench,1,5,cleanup|liquidator,cleanup|filter|gasmask|liquidator|ppe,"Сухой сменный фильтр. В смоге уходит в расход, от спор и борщевика бережёт горло. Сберечь для маршрута, сдать или продать.",200,0,0,0,none
